Items Report,,,,,,,,,,,,,,
"Mar 1, 2026 12:00 AM - Mar 31, 2026 11:59 PM",,,,,,,,,,,,,,
"Requested on: Apr 2, 2026 5:06 PM",,,,,,,,,,,,,,
Filters: Item Type = Revenue Items,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Categories: All,,,,,,,,,,,,,,
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders.",,,,,,,,,,,,,,
Items assigned to multiple categories are reported in just one category (the one created first).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gross Sales,"$39,424.46 ",,,,,,,,,,,,,
Net Sales,"$37,392.30 ",,,,,,,,,,,,,
COGS,"$10,221.82 ",,,,,,,,,,,,,
Gross Profit,"$25,478.94 ",,,,,,,,,,,,,
Gross Profit Margin,68.14%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs,,,,,,,,,,,,,,
,Veg. Masala Puff,"$5,979.20 ","$5,963.24 ",1473,2, , ,-,($7.98),($7.98),15.95%,$4.05 ,"$1,471.00 ","$4,492.24 "
,, , , , ,Add Cheese,27,$26.55 , , , , , , 
,, , , , ,Add Ratlami Sev,7,$6.93 , , , , , , 
,, , , , ,Add Green Chutney,1,$0.49 , , , , , , 
,, , , , ,Add Onion,4,$1.96 , , , , , , 
,Paneer Puff,"$2,614.03 ","$2,610.84 ",643,0, , ,-,($3.19),$0.00 ,6.98%,$4.06 ,$0.00 ,"$2,610.84 "
,, , , , ,Add Ratlami Sev,1,$0.99 , , , , , , 
,, , , , ,Add Green Chutney,2,$0.98 , , , , , , 
,, , , , ,Add Onion,1,$0.49 , , , , , , 
,Chinese Puff,$780.11 ,$780.11 ,186,0, , ,-,$0.00 ,$0.00 ,2.09%,$4.19 ,$0.00 ,$780.11 
,, , , , ,Add Ratlami Sev,3,$2.97 , , , , , , 
,Masala Tea,$678.60 ,$674.61 ,340,1, , ,-,($2.00),($1.99),1.80%,$1.99 ,$0.00 ,$674.61 
,Cheesy Corn Puff,$366.09 ,$366.09 ,91,0, , ,-,$0.00 ,$0.00 ,0.98%,$4.02 ,$0.00 ,$366.09 
,Veg Cheese Puff,$344.19 ,$344.19 ,66,0, , ,-,$0.00 ,$0.00 ,0.92%,$5.22 ,$0.00 ,$344.19 
,, , , , ,Add Ratlami Sev,15,$14.85 , , , , , , 
,Ratlami Sev Masala Puff,$81.82 ,$81.82 ,16,0, , ,-,$0.00 ,$0.00 ,0.22%,$5.11 ,$0.00 ,$81.82 
,, , , , ,Add Cheese,2,$1.98 , , , , , , 
,Bottled Water,$61.25 ,$61.25 ,61,0, , ,-,$0.00 ,$0.00 ,0.16%,$1.00 ,$0.00 ,$61.25 
,Tea + Puff Combo,$42.91 ,$42.91 ,9,0, , ,-,$0.00 ,$0.00 ,0.11%,$4.77 ,$0.00 ,$42.91 
,Add Cheese,$1.00 ,$1.00 ,1,0, , ,-,$0.00 ,$0.00 ,0.00%,$1.00 ,$0.00 ,$1.00 
Total (Puffs),,"$10,949.20 ","$10,926.06 ",2886,3,-,63,$58.19 ,($13.17),($9.97),29.22%,$3.79 ,"$1,471.00 ","$9,455.06 "
,,,,,,,,,,,,,,
Snacks,,,,,,,,,,,,,,
,Vada Pav,"$1,574.09 ","$1,571.09 ",191,0, , ,-,($3.00),$0.00 ,4.20%,$8.23 ,$0.00 ,"$1,571.09 "
,, , , , ,Mild,10,$0.00 , , , , , , 
,, , , , ,Spicy,19,$0.00 , , , , , , 
,, , , , ,No Sweet Chutney,1,$0.00 , , , , , , 
,Kutchi Dabeli,$959.16 ,$920.16 ,102,0, , ,-,($39.00),$0.00 ,2.46%,$9.02 ,$0.00 ,$920.16 
,, , , , ,Extra Cheese,1,$1.50 , , , , , , 
,, , , , ,Swaminarayan,1,$0.00 , , , , , , 
,, , , , ,Mild,8,$0.00 , , , , , , 
,, , , , ,Spicy,10,$0.00 , , , , , , 
,, , , , ,No Onion,1,$0.00 , , , , , , 
,Veggie Burger,$611.47 ,$567.08 ,65,0, , ,-,($44.39),$0.00 ,1.52%,$8.72 ,$0.00 ,$567.08 
,, , , , ,No Cheese,1,$0.00 , , , , , , 
,Veg.grill sandwich,$553.04 ,$541.04 ,56,0, , ,-,($12.00),$0.00 ,1.45%,$9.66 ,$0.00 ,$541.04 
,Paneer Tikka Sandwich,$560.13 ,$539.64 ,57,1, , ,-,($11.00),($9.49),1.44%,$9.64 ,$0.00 ,$539.64 
,, , , , ,Mild,4,$0.00 , , , , , , 
,, , , , ,Spicy,4,$0.00 , , , , , , 
,Paneer Tikka Burger ,$539.40 ,$539.40 ,60,0, , ,-,$0.00 ,$0.00 ,1.44%,$8.99 ,-,-
,Cheese Vada Pav,$519.31 ,$519.31 ,55,0, , ,-,$0.00 ,$0.00 ,1.39%,$9.44 ,$0.00 ,$519.31 
,, , , , ,Mild,12,$0.00 , , , , , , 
,, , , , ,Spicy,2,$0.00 , , , , , , 
,, , , , ,No Onion,1,$0.00 , , , , , , 
,, , , , ,No Green Chutney,1,$0.00 , , , , , , 
,Pav Bhaji,$489.51 ,$489.51 ,49,0, , ,-,$0.00 ,$0.00 ,1.31%,$9.99 ,-,-
,Veggie Pizza,$396.67 ,$396.67 ,31,0, , ,-,$0.00 ,$0.00 ,1.06%,$12.80 ,$0.00 ,$396.67 
