Items Report
"Oct 1, 2025 12:00 AM - Oct 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$46,671.01"
Net Sales,"$46,601.20"
COGS,"$11,380.06"
Gross Profit,"$34,348.59"
Gross Profit Margin,73.71%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$6,290.90","$6,275.17",2090,1," "," ",-,-$12.74,-$2.99,13.47%,$3.00,"$2,089.00","$4,186.17"
,Paneer Puff,"$3,109.24","$3,105.25",776,1," "," ",-,$0.00,-$3.99,6.66%,$4.01,$0.00,"$3,105.25"
,Chinese Puff,"$1,052.39","$1,047.21",261,1," "," ",-,-$1.19,-$3.99,2.25%,$4.03,$0.00,"$1,047.21"
,Cheesy Corn Puff,$680.31,$680.31,169,0," "," ",-,$0.00,$0.00,1.46%,$4.03,$0.00,$680.31
,Masala Tea,$598.00,$598.00,300,0," "," ",-,$0.00,$0.00,1.28%,$1.99,$0.00,$598.00
,Veg Cheese Puff,$275.33,$275.33,67,0," "," ",-,$0.00,$0.00,0.59%,$4.11,$0.00,$275.33
,Ratlami Sev Masala Puff,$148.64,$148.64,36,0," "," ",-,$0.00,$0.00,0.32%,$4.13,$0.00,$148.64
,Bottled Water,$79.00,$79.00,79,0," "," ",-,$0.00,$0.00,0.17%,$1.00,$0.00,$79.00
,Swaminarayan Puff,$67.35,$67.35,15,0," "," ",-,$0.00,$0.00,0.14%,$4.49,$0.00,$67.35
,Tea + Puff Combo,$40.91,$40.91,9,0," "," ",-,$0.00,$0.00,0.09%,$4.55,$0.00,$40.91
,Add Cheese,$28.50,$28.50,28,0," "," ",-,$0.00,$0.00,0.06%,$1.02,$0.00,$28.50
,Jain Puff,$28.10,$28.10,6,0," "," ",-,$0.00,$0.00,0.06%,$4.68,$0.00,$28.10
,Veg Mayonnaise Puff,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,$1.25,$3.74
Total (Puffs),,"$12,403.66","$12,378.75",3837,3,-," ",$0.00,-$13.94,-$10.97,26.56%,$3.23,"$2,090.25","$10,288.51"

Snacks
,Vada Pav,"$1,911.63","$1,911.63",237,0," "," ",-,$0.00,$0.00,4.10%,$8.07,$0.00,"$1,911.63"
,," "," "," "," ",Mild,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Green Chutney,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Garlic Chutney,3,$0.00," "," "," "," "," "," "
,Kutchi Dabeli,"$1,375.60","$1,375.60",150,0," "," ",-,$0.00,$0.00,2.95%,$9.17,$0.00,"$1,375.60"
,," "," "," "," ",Extra Cheese,3,$4.50," "," "," "," "," "," "
,," "," "," "," ",Swaminarayan,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mild,4,$0.00," "," "," "," "," "," "
