Items Report
"Aug 1, 2025 12:00 AM - Aug 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:01 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$27,295.25"
Net Sales,"$27,215.86"
COGS,"$6,810.74"
Gross Profit,"$20,067.62"
Gross Profit Margin,73.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$2,948.14","$2,935.28",986,3," "," ",-,-$3.89,-$8.97,10.79%,$2.99,$983.00,"$1,952.28"
,Paneer Puff,"$1,316.70","$1,316.30",330,0," "," ",-,-$0.40,$0.00,4.84%,$3.99,$0.00,"$1,316.30"
,Chinese Puff,$702.24,$702.24,176,0," "," ",-,$0.00,$0.00,2.58%,$3.99,$0.00,$702.24
,Cheesy Corn Puff,$402.99,$401.00,101,0," "," ",-,-$1.99,$0.00,1.47%,$3.97,$0.00,$401.00
,Veg Cheese Puff,$303.24,$303.24,76,0," "," ",-,$0.00,$0.00,1.11%,$3.99,$0.00,$303.24
,Masala Tea,$258.70,$258.50,130,0," "," ",-,-$0.20,$0.00,0.95%,$1.99,$0.00,$258.50
,Swaminarayan Puff,$89.80,$89.80,20,0," "," ",-,$0.00,$0.00,0.33%,$4.49,$0.00,$89.80
,Ratlami Sev Masala Puff,$59.85,$59.85,15,0," "," ",-,$0.00,$0.00,0.22%,$3.99,$0.00,$59.85
,Bottled Water,$47.00,$47.00,47,0," "," ",-,$0.00,$0.00,0.17%,$1.00,$0.00,$47.00
,Veg Mayonnaise Puff,$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,$1.25,$2.74
Total (Puffs),,"$6,132.65","$6,117.20",1882,3,-," ",$0.00,-$6.48,-$8.97,22.48%,$3.26,$984.25,"$5,132.95"

Snacks
,Vada Pav,"$1,088.19","$1,086.59",131,0," "," ",-,-$1.60,$0.00,3.99%,$8.29,$0.00,"$1,086.59"
,," "," "," "," ",Mild,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Garlic Chutney,2,$0.00," "," "," "," "," "," "
,Kutchi Dabeli,$972.42,$971.52,108,0," "," ",-,-$0.90,$0.00,3.57%,$9.00,$0.00,$971.52
,," "," "," "," ",Extra Cheese,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Swaminarayan,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Mild,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,3,$0.00," "," "," "," "," "," "
,Veggie Pizza,$574.54,$572.04,46,0," "," ",-,-$2.50,$0.00,2.10%,$12.44,$0.00,$572.04
,," "," "," "," ",No Mushroom,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onions,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Zuccini,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Tamotoes,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Swaminarayan,1,$0.00," "," "," "," "," "," "
,Veg.grill sandwich,$493.48,$492.53,52,0," "," ",-,-$0.95,$0.00,1.81%,$9.47,$0.00,$492.53
,Paneer Tikka Sandwich,$417.56,$417.56,44,0," "," ",-,$0.00,$0.00,1.53%,$9.49,$0.00,$417.56
,," "," "," "," ",Mild,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,3,$0.00," "," "," "," "," "," "
,Veggie Burger,$386.57,$386.57,43,0," "," ",-,$0.00,$0.00,1.42%,$8.99,$0.00,$386.57
,Cheese Vada Pav,$251.72,$251.72,28,0," "," ",-,$0.00,$0.00,0.92%,$8.99,$0.00,$251.72
,," "," "," "," ",Mild,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,1,$0.00," "," "," "," "," "," "
,Paneer Tikka Pizza,$206.25,$206.25,15,0," "," ",-,$0.00,$0.00,0.76%,$13.75,-,-
,Cheese Pizza,$190.33,$190.33,17,0," "," ",-,$0.00,$0.00,0.70%,$11.20,$0.00,$190.33
,Jalapeño Poppers,$170.62,$170.62,38,0," "," ",-,$0.00,$0.00,0.63%,$4.49,$0.00,$170.62
,Schezwan Paneer Roll,$170.81,$161.82,19,1," "," ",-,$0.00,-$8.99,0.59%,$8.99,$0.00,$161.82
,Chole Kulcha,$161.82,$160.47,18,0," "," ",-,-$1.35,$0.00,0.59%,$8.91,$0.00,$160.47
,Masala Fries,$137.25,$135.60,25,0," "," ",-,-$1.65,$0.00,0.50%,$5.42,$0.00,$135.60
,," "," "," "," ",No Masala,5,$0.00," "," "," "," "," "," "
,Cheesy Garlic Bread,$127.84,$127.84,16,0," "," ",-,$0.00,$0.00,0.47%,$7.99,$0.00,$127.84
,Grill Cheese Sandwich,$97.37,$96.62,13,0," "," ",-,-$0.75,$0.00,0.36%,$7.43,$0.00,$96.62
,Mozzarella Sticks,$80.82,$79.03,18,0," "," ",-,-$1.79,$0.00,0.29%,$4.39,$0.00,$79.03
,Potato Stuffed Grill Sandwich,$75.92,$75.92,8,0," "," ",-,$0.00,$0.00,0.28%,$9.49,$0.00,$75.92
