Items Report
"Dec 1, 2025 12:00 AM - Dec 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$41,041.45"
Net Sales,"$40,148.22"
COGS,"$11,171.97"
Gross Profit,"$27,851.42"
Gross Profit Margin,69.37%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$5,001.99","$4,811.67",1633,0," "," ",-,-$190.32,$0.00,11.98%,$2.95,"$1,633.00","$3,178.67"
,Paneer Puff,"$2,349.20","$2,344.16",580,0," "," ",-,-$5.04,$0.00,5.84%,$4.04,$0.00,"$2,344.16"
,Chinese Puff,$839.94,$827.09,206,0," "," ",-,-$12.85,$0.00,2.06%,$4.02,$0.00,$827.09
,Masala Tea,$681.58,$680.65,342,0," "," ",-,-$0.93,$0.00,1.70%,$1.99,$0.00,$680.65
,Cheesy Corn Puff,$556.62,$556.62,138,0," "," ",-,$0.00,$0.00,1.39%,$4.03,$0.00,$556.62
,Ratlami Sev Masala Puff,$250.40,$248.69,60,0," "," ",-,-$1.71,$0.00,0.62%,$4.14,$0.00,$248.69
,Veg Cheese Puff,$171.58,$170.51,42,0," "," ",-,-$1.07,$0.00,0.42%,$4.06,$0.00,$170.51
,Bottled Water,$55.00,$55.00,55,0," "," ",-,$0.00,$0.00,0.14%,$1.00,$0.00,$55.00
,Add Cheese,$29.00,$29.00,29,0," "," ",-,$0.00,$0.00,0.07%,$1.00,$0.00,$29.00
,Tea + Puff Combo,$30.93,$28.71,7,0," "," ",-,-$2.22,$0.00,0.07%,$4.10,$0.00,$28.71
,Swaminarayan Puff,$5.65,$5.65,1,0," "," ",-,$0.00,$0.00,0.01%,$5.65,$0.00,$5.65
,Veg Mayonnaise Puff,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,$1.25,$3.74
Total (Puffs),,"$9,976.88","$9,762.74",3094,0,-," ",$0.00,-$214.14,$0.00,24.32%,$3.16,"$1,634.25","$8,128.49"

Snacks
,Vada Pav,"$1,933.70","$1,743.10",230,0," "," ",-,-$190.60,$0.00,4.34%,$7.58,$0.00,"$1,743.10"
,," "," "," "," ",Mild,24,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,34,$0.00," "," "," "," "," "," "
,Kutchi Dabeli,"$1,168.39","$1,031.55",121,0," "," ",-,-$136.84,$0.00,2.57%,$8.53,$0.00,"$1,031.55"
,," "," "," "," ",Extra Cheese,1,$1.50," "," "," "," "," "," "
,," "," "," "," ",Mild,17,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,11,$0.00," "," "," "," "," "," "
,Veg.grill sandwich,$790.73,$686.52,77,0," "," ",-,-$104.21,$0.00,1.71%,$8.92,$0.00,$686.52
,Veggie Burger,$665.46,$657.47,70,0," "," ",-,-$7.99,$0.00,1.64%,$9.39,$0.00,$657.47
,," "," "," "," ",No Onion,2,$0.00," "," "," "," "," "," "
,Veggie Pizza,$687.85,$538.16,49,0," "," ",-,-$149.69,$0.00,1.34%,$10.98,$0.00,$538.16
,," "," "," "," ",No Mushroom,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Zuccini,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Swaminarayan,4,$0.00," "," "," "," "," "," "
,Paneer Tikka Sandwich,$460.54,$457.32,46,0," "," ",-,-$3.22,$0.00,1.14%,$9.94,$0.00,$457.32
,," "," "," "," ",Mild,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,4,$0.00," "," "," "," "," "," "
,Cheese Vada Pav,$218.02,$218.02,24,0," "," ",-,$0.00,$0.00,0.54%,$9.08,$0.00,$218.02
,," "," "," "," ",Mild,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,4,$0.00," "," "," "," "," "," "
,Bombay Sandwich,$209.70,$209.70,30,0," "," ",-,$0.00,$0.00,0.52%,$6.99,-,-
,Masala Fries,$201.84,$199.86,36,0," "," ",-,-$1.98,$0.00,0.50%,$5.55,$0.00,$199.86
,Paneer Tikka Pizza,$127.20,$127.20,8,0," "," ",-,$0.00,$0.00,0.32%,$15.90,-,-
,Chilly Cheese Toast,$121.85,$121.85,15,0," "," ",-,$0.00,$0.00,0.30%,$8.12,$0.00,$121.85
,Pesto Paneer Pizza,$110.00,$110.00,8,0," "," ",-,$0.00,$0.00,0.27%,$13.75,$0.00,$110.00
,Cheesy Garlic Bread,$101.88,$101.88,12,0," "," ",-,$0.00,$0.00,0.25%,$8.49,$0.00,$101.88
,Cheese Pizza,$99.92,$99.92,8,0," "," ",-,$0.00,$0.00,0.25%,$12.49,$0.00,$99.92
,Potato Stuffed Grill Sandwich,$99.70,$99.70,10,0," "," ",-,$0.00,$0.00,0.25%,$9.97,$0.00,$99.70
,Jalapeño Poppers,$92.27,$90.10,19,0," "," ",-,-$2.17,$0.00,0.22%,$4.74,$0.00,$90.10
,Paneer Bhurji With Kulcha,$80.91,$80.91,9,0," "," ",-,$0.00,$0.00,0.20%,$8.99,-,-
,Mozzarella Sticks,$68.51,$68.51,15,0," "," ",-,$0.00,$0.00,0.17%,$4.57,$0.00,$68.51
,Schezwan Paneer Roll,$67.45,$67.45,7,0," "," ",-,$0.00,$0.00,0.17%,$9.64,$0.00,$67.45
,Spinach & Corn Sandwich,$61.74,$61.74,6,0," "," ",-,$0.00,$0.00,0.15%,$10.29,$0.00,$61.74
,Chole Kulcha,$40.48,$40.48,4,0," "," ",-,$0.00,$0.00,0.10%,$10.12,$0.00,$40.48
,Grill Cheese Sandwich,$37.45,$37.45,5,0," "," ",-,$0.00,$0.00,0.09%,$7.49,$0.00,$37.45
,Bread Butter,$17.43,$17.43,7,0," "," ",-,$0.00,$0.00,0.04%,$2.49,$0.00,$17.43
,Jain Kutchi Dabeli,$11.25,$11.25,1,0," "," ",-,$0.00,$0.00,0.03%,$11.25,$0.00,$11.25
,Chutney Sandwich,$6.98,$6.98,2,0," "," ",-,$0.00,$0.00,0.02%,$3.49,$0.00,$6.98
Total (Snacks),,"$7,481.25","$6,884.54",819,0,-,135,$1.50,-$596.71,$0.00,17.15%,$8.41,$0.00,"$6,466.74"

Cake 2LB
,Rasmalai 2Lb,$987.81,$987.81,19,0," "," ",-,$0.00,$0.00,2.46%,$51.99,$543.21,$444.60
,Ferrero Rocher 2 Lb,$863.84,$863.84,16,0," "," ",-,$0.00,$0.00,2.15%,$53.99,$475.04,$388.80
,Royal Cassatta 2LB,$727.86,$727.86,14,0," "," ",-,$0.00,$0.00,1.81%,$51.99,$415.66,$312.20
,Pine Butterscotch 2LB,$649.87,$649.87,13,0," "," ",-,$0.00,$0.00,1.62%,$49.99,$357.37,$292.50
,Dark Forest 2LB,$623.88,$623.88,12,0," "," ",-,$0.00,$0.00,1.55%,$51.99,$356.28,$267.60
,Black Forest Cake 2LB,$571.87,$571.87,13,0," "," ",-,$0.00,$0.00,1.42%,$43.99,$314.47,$257.40
