Items Report
"Feb 1, 2026 12:00 AM - Feb 28, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:58 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$31,012.38"
Net Sales,"$30,641.50"
COGS,"$8,921.62"
Gross Profit,"$20,193.28"
Gross Profit Margin,65.90%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$4,227.48","$4,211.75",1131,0," "," ",-,-$15.73,$0.00,13.75%,$3.72,"$1,131.00","$3,080.75"
,," "," "," "," ",Add Cheese,6,$5.94," "," "," "," "," "," "
,," "," "," "," ",Add Ratlami Sev,4,$3.96," "," "," "," "," "," "
,," "," "," "," ",Add Green Chutney,3,$1.47," "," "," "," "," "," "
,," "," "," "," ",Add Onion,2,$0.98," "," "," "," "," "," "
,Paneer Puff,"$2,082.83","$2,081.03",515,0," "," ",-,-$1.80,$0.00,6.79%,$4.04,$0.00,"$2,081.03"
,," "," "," "," ",Add Onion,2,$0.98," "," "," "," "," "," "
,Chinese Puff,$651.43,$649.21,155,0," "," ",-,-$2.22,$0.00,2.12%,$4.19,$0.00,$649.21
,," "," "," "," ",Add Cheese,2,$1.98," "," "," "," "," "," "
,Masala Tea,$465.66,$464.72,234,0," "," ",-,-$0.94,$0.00,1.52%,$1.99,$0.00,$464.72
,Cheesy Corn Puff,$365.08,$364.16,90,0," "," ",-,-$0.92,$0.00,1.19%,$4.05,$0.00,$364.16
,," "," "," "," ",Add Green Chutney,1,$0.49," "," "," "," "," "," "
,," "," "," "," ",Add Onion,1,$0.49," "," "," "," "," "," "
,Veg Cheese Puff,$258.37,$255.73,59,0," "," ",-,-$2.64,$0.00,0.83%,$4.33,$0.00,$255.73
,," "," "," "," ",Add Ratlami Sev,2,$1.98," "," "," "," "," "," "
,," "," "," "," ",Add Green Chutney,1,$0.49," "," "," "," "," "," "
,," "," "," "," ",Add Onion,1,$0.49," "," "," "," "," "," "
,Ratlami Sev Masala Puff,$99.78,$99.78,22,0," "," ",-,$0.00,$0.00,0.33%,$4.54,$0.00,$99.78
,Bottled Water,$37.50,$37.50,37,0," "," ",-,$0.00,$0.00,0.12%,$1.01,$0.00,$37.50
,Combo - 1 lb Cake + 4 Puffs,$29.99,$29.99,1,0," "," ",-,$0.00,$0.00,0.10%,$29.99,-,-
,Add Cheese,$7.00,$7.00,7,0," "," ",-,$0.00,$0.00,0.02%,$1.00,$0.00,$7.00
,Tea + Puff Combo,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.02%,$4.99,$0.00,$4.99
Total (Puffs),,"$8,230.11","$8,205.86",2252,0,-,25,$19.25,-$24.25,$0.00,26.78%,$3.64,"$1,131.00","$7,044.87"

Cake 2LB
