Items Report
"Jan 1, 2026 12:00 AM - Jan 31, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$35,381.57"
Net Sales,"$35,357.20"
COGS,"$9,547.67"
Gross Profit,"$24,503.86"
Gross Profit Margin,69.30%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$4,112.50","$4,112.50",1350,0," "," ",-,$0.00,$0.00,11.63%,$3.05,"$1,350.00","$2,762.50"
,Paneer Puff,"$1,982.08","$1,982.08",492,0," "," ",-,$0.00,$0.00,5.61%,$4.03,$0.00,"$1,982.08"
,Chinese Puff,$622.50,$622.50,150,0," "," ",-,$0.00,$0.00,1.76%,$4.15,$0.00,$622.50
,Masala Tea,$577.11,$577.11,289,0," "," ",-,$0.00,$0.00,1.63%,$2.00,$0.00,$577.11
,Cheesy Corn Puff,$363.10,$363.10,90,0," "," ",-,$0.00,$0.00,1.03%,$4.03,$0.00,$363.10
,Ratlami Sev Masala Puff,$248.40,$248.40,60,0," "," ",-,$0.00,$0.00,0.70%,$4.14,$0.00,$248.40
,Veg Cheese Puff,$187.58,$187.58,42,0," "," ",-,$0.00,$0.00,0.53%,$4.47,$0.00,$187.58
,Bottled Water,$44.00,$44.00,44,0," "," ",-,$0.00,$0.00,0.12%,$1.00,$0.00,$44.00
,Add Cheese,$39.00,$39.00,39,0," "," ",-,$0.00,$0.00,0.11%,$1.00,$0.00,$39.00
,Veg Mayonnaise Puff,$9.98,$9.98,2,0," "," ",-,$0.00,$0.00,0.03%,$4.99,$2.50,$7.48
,Tea + Puff Combo,$8.98,$8.98,2,0," "," ",-,$0.00,$0.00,0.03%,$4.49,$0.00,$8.98
,Swaminarayan Puff,$5.65,$5.65,1,0," "," ",-,$0.00,$0.00,0.02%,$5.65,$0.00,$5.65
Total (Puffs),,"$8,200.88","$8,200.88",2561,0,-," ",$0.00,$0.00,$0.00,23.19%,$3.20,"$1,352.50","$6,848.38"

Snacks
,Vada Pav,"$1,378.32","$1,378.32",168,0," "," ",-,$0.00,$0.00,3.90%,$8.20,$0.00,"$1,378.32"
,," "," "," "," ",Mild,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,20,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,2,$0.00," "," "," "," "," "," "
