Items Report
"Nov 1, 2025 12:00 AM - Nov 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$38,853.26"
Net Sales,"$38,726.24"
COGS,"$11,183.67"
Gross Profit,"$26,946.45"
Gross Profit Margin,69.58%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$4,722.47","$4,708.79",1569,0," "," ",-,-$13.68,$0.00,12.16%,$3.00,"$1,569.00","$3,139.79"
,Paneer Puff,"$2,732.19","$2,732.19",681,0," "," ",-,$0.00,$0.00,7.06%,$4.01,$0.00,"$2,732.19"
,Chinese Puff,$793.03,$791.41,197,0," "," ",-,-$1.62,$0.00,2.04%,$4.02,$0.00,$791.41
,Cheesy Corn Puff,$512.73,$511.11,127,0," "," ",-,-$1.62,$0.00,1.32%,$4.02,$0.00,$511.11
,Masala Tea,$473.62,$473.62,238,0," "," ",-,$0.00,$0.00,1.22%,$1.99,$0.00,$473.62
,Veg Cheese Puff,$186.54,$184.92,46,0," "," ",-,-$1.62,$0.00,0.48%,$4.02,$0.00,$184.92
,Ratlami Sev Masala Puff,$161.60,$161.60,40,0," "," ",-,$0.00,$0.00,0.42%,$4.04,$0.00,$161.60
,Bottled Water,$54.00,$54.00,54,0," "," ",-,$0.00,$0.00,0.14%,$1.00,$0.00,$54.00
,Swaminarayan Puff,$41.57,$41.57,9,0," "," ",-,$0.00,$0.00,0.11%,$4.62,$0.00,$41.57
,Add Cheese,$29.00,$29.00,29,0," "," ",-,$0.00,$0.00,0.07%,$1.00,$0.00,$29.00
,Jain Puff,$26.94,$26.94,6,0," "," ",-,$0.00,$0.00,0.07%,$4.49,$0.00,$26.94
,Tea + Puff Combo,$16.96,$16.96,4,0," "," ",-,$0.00,$0.00,0.04%,$4.24,$0.00,$16.96
,Veg Mayonnaise Puff,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,$1.25,$3.74
Total (Puffs),,"$9,755.64","$9,737.12",3001,0,-," ",$0.00,-$18.52,$0.00,25.14%,$3.24,"$1,570.25","$8,166.85"

Cake 2LB
,Rasmalai 2Lb,$888.83,$888.83,17,0," "," ",-,$0.00,$0.00,2.30%,$52.28,$486.03,$402.80
,Ferrero Rocher 2 Lb,$764.86,$764.86,14,0," "," ",-,$0.00,$0.00,1.98%,$54.63,$415.66,$349.20
,Black Forest Cake 2LB,$751.83,$751.83,17,0," "," ",-,$0.00,$0.00,1.94%,$44.23,$411.23,$340.60
,Pine Butterscotch 2LB,$654.87,$654.87,13,0," "," ",-,$0.00,$0.00,1.69%,$50.37,$357.37,$297.50
,Dark Forest 2LB,$525.90,$525.90,10,0," "," ",-,$0.00,$0.00,1.36%,$52.59,$296.90,$229.00
,Royal Cassatta 2LB,$524.90,$524.90,10,0," "," ",-,$0.00,$0.00,1.36%,$52.49,$296.90,$228.00
,Red Velvet 2LB,$522.90,$470.91,10,1," "," ",-,$0.00,-$51.99,1.22%,$52.32,$257.31,$213.60
,Choco delight 2 lb,$399.91,$399.91,9,0," "," ",-,$0.00,$0.00,1.03%,$44.43,$217.71,$182.20
,Oreo Crunch 2 Lb,$314.94,$314.94,6,0," "," ",-,$0.00,$0.00,0.81%,$52.49,$171.54,$143.40
,Alphonso 2LB,$313.93,$313.93,7,0," "," ",-,$0.00,$0.00,0.81%,$44.85,$169.33,$144.60
,Choco Pie 2LB,$254.95,$254.95,5,0," "," ",-,$0.00,$0.00,0.66%,$50.99,$137.45,$117.50
,Choco Chip Forest Cake 2LB,$202.46,$202.46,4,0," "," ",-,$0.00,$0.00,0.52%,$50.62,$109.96,$92.50
,Juicy Pineapple 2LB,$175.96,$175.96,4,0," "," ",-,$0.00,$0.00,0.45%,$43.99,$96.76,$79.20
,White Forest 2LB,$52.49,$52.49,1,0," "," ",-,$0.00,$0.00,0.14%,$52.49,$27.49,$25.00
Total (Cake 2LB),,"$6,348.73","$6,296.74",127,1,-," ",$0.00,$0.00,-$51.99,16.26%,$49.97,"$3,451.64","$2,845.10"

Cake 1LB
,Rasbhari rasmalai 1lb,"$1,048.60","$1,048.60",40,0," "," ",-,$0.00,$0.00,2.71%,$26.22,$571.60,$477.00
,Pine Butterscotch 1lb,$882.15,$882.15,35,0," "," ",-,$0.00,$0.00,2.28%,$25.20,$480.90,$401.25
,Ferrero Rocher 1lb,$554.46,$554.46,20,0," "," ",-,$0.00,$0.00,1.43%,$27.72,$285.80,$268.66
,Royal Cassatta 1lb,$420.34,$420.34,16,0," "," ",-,$0.00,$0.00,1.09%,$26.27,$228.64,$191.70
,Black Forest 1lb,$407.58,$407.58,18,0," "," ",-,$0.00,$0.00,1.05%,$22.64,$217.62,$189.96
,Red Velvet 1lb,$392.85,$392.85,15,0," "," ",-,$0.00,$0.00,1.01%,$26.19,$214.35,$178.50
,Choco Delight 1lb,$338.61,$338.61,15,0," "," ",-,$0.00,$0.00,0.87%,$22.57,$181.35,$157.26
,White Forest 1lb,$337.53,$337.53,13,0," "," ",-,$0.00,$0.00,0.87%,$25.96,$178.62,$158.91
,Alphonso 1lb,$301.39,$301.39,13,0," "," ",-,$0.00,$0.00,0.78%,$23.18,$157.17,$144.22
,Strawberry Delight 1lb,$289.87,$289.87,13,0," "," ",-,$0.00,$0.00,0.75%,$22.30,$157.17,$132.70
,Dark Forest 1LB,$288.89,$288.89,11,0," "," ",-,$0.00,$0.00,0.75%,$26.26,$157.19,$131.70
,Oreo Crunch 1lb,$288.89,$288.89,11,0," "," ",-,$0.00,$0.00,0.75%,$26.26,$157.19,$131.70
,Juicy Pineapple 1lb,$228.66,$228.66,10,0," "," ",-,$0.00,$0.00,0.59%,$22.87,$120.90,$107.76
,Choco Pie 1LB,$202.92,$202.92,8,0," "," ",-,$0.00,$0.00,0.52%,$25.37,$109.92,$93.00
,Choco Chip Forest 1lb,$201.42,$201.42,8,0," "," ",-,$0.00,$0.00,0.52%,$25.18,$109.92,$91.50
,Royal Chocolate 1lb,$53.98,$53.98,2,0," "," ",-,$0.00,$0.00,0.14%,$26.99,$29.68,$24.30
,Blueberry Delight 1lb,$21.99,$21.99,1,0," "," ",-,$0.00,$0.00,0.06%,$21.99,$12.09,$9.90
Total (Cake 1LB),,"$6,260.13","$6,260.13",249,0,-," ",$0.00,$0.00,$0.00,16.17%,$25.14,"$3,370.11","$2,890.02"

Snacks
,Vada Pav,"$1,432.24","$1,425.77",176,0," "," ",-,-$6.47,$0.00,3.68%,$8.10,$0.00,"$1,425.77"
,," "," "," "," ",Mild,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Sweet Chutney,1,$0.00," "," "," "," "," "," "
,Kutchi Dabeli,$676.61,$655.13,73,0," "," ",-,-$21.48,$0.00,1.69%,$8.97,$0.00,$655.13
,," "," "," "," ",Mild,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,7,$0.00," "," "," "," "," "," "
,Veg.grill sandwich,$636.05,$624.16,65,0," "," ",-,-$11.89,$0.00,1.61%,$9.60,$0.00,$624.16
,Veggie Burger,$528.25,$528.25,57,0," "," ",-,$0.00,$0.00,1.36%,$9.27,$0.00,$528.25
,," "," "," "," ",No Onion,1,$0.00," "," "," "," "," "," "
,Paneer Tikka Sandwich,$379.71,$379.71,39,0," "," ",-,$0.00,$0.00,0.98%,$9.74,$0.00,$379.71
,," "," "," "," ",Mild,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,4,$0.00," "," "," "," "," "," "
,Veggie Pizza,$384.18,$369.95,30,0," "," ",-,-$14.23,$0.00,0.96%,$12.33,$0.00,$369.95
,," "," "," "," ",No Mushroom,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Zuccini,1,$0.00," "," "," "," "," "," "
,Cheese Vada Pav,$274.22,$274.22,30,0," "," ",-,$0.00,$0.00,0.71%,$9.14,$0.00,$274.22
,," "," "," "," ",Spicy,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,1,$0.00," "," "," "," "," "," "
,Masala Fries,$142.74,$142.74,26,0," "," ",-,$0.00,$0.00,0.37%,$5.49,$0.00,$142.74
,Chole Kulcha,$132.64,$132.64,14,0," "," ",-,$0.00,$0.00,0.34%,$9.47,$0.00,$132.64
,Jalapeño Poppers,$120.22,$120.22,26,0," "," ",-,$0.00,$0.00,0.31%,$4.62,$0.00,$120.22
,Paneer Tikka Pizza,$110.01,$110.01,7,0," "," ",-,$0.00,$0.00,0.28%,$15.72,-,-
,Chilly Cheese Toast,$103.87,$103.87,13,0," "," ",-,$0.00,$0.00,0.27%,$7.99,$0.00,$103.87
,Potato Stuffed Grill Sandwich,$90.21,$90.21,9,0," "," ",-,$0.00,$0.00,0.23%,$10.02,$0.00,$90.21
,Cheesy Garlic Bread,$89.89,$89.89,11,0," "," ",-,$0.00,$0.00,0.23%,$8.17,$0.00,$89.89
,Pesto Paneer Pizza,$72.19,$72.19,5,0," "," ",-,$0.00,$0.00,0.19%,$14.44,$0.00,$72.19
,Bombay Sandwich,$69.90,$69.90,10,0," "," ",-,$0.00,$0.00,0.18%,$6.99,-,-
,Schezwan Paneer Roll,$62.93,$62.93,7,0," "," ",-,$0.00,$0.00,0.16%,$8.99,$0.00,$62.93
,Cheese Pizza,$62.45,$62.45,5,0," "," ",-,$0.00,$0.00,0.16%,$12.49,$0.00,$62.45
,Mozzarella Sticks,$53.88,$53.88,12,0," "," ",-,$0.00,$0.00,0.14%,$4.49,$0.00,$53.88
,Spinach & Corn Sandwich,$47.45,$47.45,5,0," "," ",-,$0.00,$0.00,0.12%,$9.49,$0.00,$47.45
,Paneer Bhurji With Kulcha,$35.96,$35.96,4,0," "," ",-,$0.00,$0.00,0.09%,$8.99,-,-
,Bread Butter,$17.43,$17.43,7,0," "," ",-,$0.00,$0.00,0.05%,$2.49,$0.00,$17.43
,Chutney Sandwich,$11.37,$11.37,3,0," "," ",-,$0.00,$0.00,0.03%,$3.79,$0.00,$11.37
Total (Snacks),,"$5,534.40","$5,480.33",634,0,-,45,$0.00,-$54.07,$0.00,14.15%,$8.64,$0.00,"$5,264.46"

"Pastries "
,Rasbhari Rasmalai,$567.69,$567.69,123,0," "," ",-,$0.00,$0.00,1.47%,$4.62,$303.81,$263.88
,Black Forest,$323.25,$320.82,79,0," "," ",-,-$2.43,$0.00,0.83%,$4.06,$173.01,$147.81
,Royal Cassatta,$254.56,$254.56,56,0," "," ",-,$0.00,$0.00,0.66%,$4.55,$153.44,$101.12
,Chocolate Chip,$241.48,$241.48,60,0," "," ",-,$0.00,$0.00,0.62%,$4.02,$0.00,$241.48
,Choco Delight,$234.95,$234.95,57,0," "," ",-,$0.00,$0.00,0.61%,$4.12,$124.83,$110.12
,Royal Chocolate,$233.22,$233.22,46,0," "," ",-,$0.00,$0.00,0.60%,$5.07,$0.00,$233.22
,Red Velvet,$232.89,$232.89,51,0," "," ",-,$0.00,$0.00,0.60%,$4.57,$125.97,$106.92
,Ferrero Rocher,$224.79,$224.79,37,0," "," ",-,$0.00,$0.00,0.58%,$6.08,$121.73,$103.06
,White Forest,$218.06,$218.06,54,0," "," ",-,$0.00,$0.00,0.56%,$4.04,$118.26,$99.80
,Pine butterscotch,$217.92,$217.92,48,0," "," ",-,$0.00,$0.00,0.56%,$4.54,$118.56,$99.36
,Biscoff Cheese Cake,$216.42,$216.42,36,0," "," ",-,$0.00,$0.00,0.56%,$6.01,$0.00,$216.42
,Oreo Crunch,$206.41,$206.41,41,0," "," ",-,$0.00,$0.00,0.53%,$5.03,$112.34,$94.07
,Strawberry Delight,$176.46,$176.46,42,0," "," ",-,$0.00,$0.00,0.46%,$4.20,$91.98,$84.48
,Roasted Almond,$168.76,$168.76,28,0," "," ",-,$0.00,$0.00,0.44%,$6.03,$0.00,$168.76
,Gulabjamun Cheesecake,$157.60,$157.60,26,0," "," ",-,$0.00,$0.00,0.41%,$6.06,$91.00,$66.60
,Alphonso,$140.43,$140.43,35,0," "," ",-,$0.00,$0.00,0.36%,$4.01,$0.00,$140.43
,Choco Pie,$128.43,$128.43,21,0," "," ",-,$0.00,$0.00,0.33%,$6.12,$0.00,$128.43
,"Creamy Vanilla ",$127.13,$127.13,31,0," "," ",-,$0.00,$0.00,0.33%,$4.10,$0.00,$127.13
,Juicy Pineapple,$121.32,$121.32,30,0," "," ",-,$0.00,$0.00,0.31%,$4.04,$0.00,$121.32
,Mango Cheese Cake,$41.93,$41.93,7,0," "," ",-,$0.00,$0.00,0.11%,$5.99,$0.00,$41.93
,Bourbon Chocolate,$29.94,$29.94,6,0," "," ",-,$0.00,$0.00,0.08%,$4.99,$13.50,$16.44
,Blueberry Delight,$29.49,$29.49,7,0," "," ",-,$0.00,$0.00,0.08%,$4.21,$15.33,$14.16
Total (Pastries ),,"$4,293.13","$4,290.70",921,0,-," ",$0.00,-$2.43,$0.00,11.08%,$4.66,"$1,563.76","$2,726.94"

Uncategorized
,Paneer Tikka Pizza,$220.00,$220.00,16,0," "," ",-,$0.00,$0.00,0.57%,$13.75,-,-
,Mango Tres Leches,$215.73,$215.73,27,0," "," ",-,$0.00,$0.00,0.56%,$7.99,$161.73,$54.00
,Casatta Mousse,$131.78,$131.78,22,0," "," ",-,$0.00,$0.00,0.34%,$5.99,$0.00,$131.78
,Surti Khari,$119.76,$119.76,24,0," "," ",-,$0.00,$0.00,0.31%,$4.99,$72.00,$47.76
,Methi Khari,$94.81,$94.81,19,0," "," ",-,$0.00,$0.00,0.24%,$4.99,$57.00,$37.81
,Sandwich Bread S/W 800,$83.79,$83.79,21,0," "," ",-,$0.00,$0.00,0.22%,$3.99,$0.00,$83.79
,Jeera Khari,$74.85,$74.85,15,0," "," ",-,$0.00,$0.00,0.19%,$4.99,$74.85,$0.00
,Mathura Penda 400gm,$69.93,$69.93,7,0," "," ",-,$0.00,$0.00,0.18%,$9.99,$0.00,$69.93
,choco chip muffin,$44.85,$44.85,15,0," "," ",-,$0.00,$0.00,0.12%,$2.99,-,-
,Kaju Katli 400gm,$41.97,$41.97,3,0," "," ",-,$0.00,$0.00,0.11%,$13.99,$0.00,$41.97
,Frosting,$30.00,$30.00,30,0," "," ",-,$0.00,$0.00,0.08%,$1.00,$15.00,$15.00
,Truti Frutti Pound Cake,$17.45,$17.45,5,0," "," ",-,$0.00,$0.00,0.05%,$3.49,$0.00,$17.45
,Yellow Banana Wafer.,$12.45,$12.45,5,0," "," ",-,$0.00,$0.00,0.03%,$2.49,$0.00,$12.45
,Surti Rajbhog Ghari 500g,$11.99,$11.99,1,0," "," ",-,$0.00,$0.00,0.03%,$11.99,$0.00,$11.99
,Surati Nankhatai,$11.97,$11.97,3,0," "," ",-,$0.00,$0.00,0.03%,$3.99,$0.00,$11.97
,Kesar Penda 400gm,$9.99,$9.99,1,0," "," ",-,$0.00,$0.00,0.03%,$9.99,$0.00,$9.99
,muffin,$5.98,$5.98,2,0," "," ",-,$0.00,$0.00,0.02%,$2.99,-,-
,Custom Item,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,pound cake,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Multigrain Bread 400G,$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,$0.00,$3.99
,Mini Schezwan Chakri.,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Choco Chip Pound Cake.,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,$2.49,$1.00
,Walnut Chocolate Brownie,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
,Custom Item,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.01%,$2.00,-,-
