Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Puffs
,Veg. Masala Puff,"$6,083.48","$6,076.89",2028,1," "," ",-,-$2.84,-$3.75,13.27%,$3.00,"$2,027.00","$4,049.89"
,Paneer Puff,"$2,654.36","$2,654.36",664,0," "," ",-,$0.00,$0.00,5.80%,$4.00,$0.00,"$2,654.36"
,Chinese Puff,$930.67,$926.75,233,0," "," ",-,-$3.92,$0.00,2.02%,$3.98,$0.00,$926.75
,Cheesy Corn Puff,$721.20,$721.20,180,0," "," ",-,$0.00,$0.00,1.57%,$4.01,$0.00,$721.20
,Masala Tea,$589.54,$589.54,296,0," "," ",-,$0.00,$0.00,1.29%,$1.99,$0.00,$589.54
,Veg Cheese Puff,$276.34,$276.34,66,0," "," ",-,$0.00,$0.00,0.60%,$4.19,$0.00,$276.34
,Ratlami Sev Masala Puff,$67.83,$67.83,17,0," "," ",-,$0.00,$0.00,0.15%,$3.99,$0.00,$67.83
,Swaminarayan Puff,$67.35,$67.35,15,0," "," ",-,$0.00,$0.00,0.15%,$4.49,$0.00,$67.35
,Bottled Water,$57.00,$57.00,57,0," "," ",-,$0.00,$0.00,0.12%,$1.00,$0.00,$57.00
,Jain Puff,$13.47,$13.47,3,0," "," ",-,$0.00,$0.00,0.03%,$4.49,$0.00,$13.47
,Tea + Puff Combo,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,$0.00,$4.99
,Veg Mayonnaise Puff,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,$1.25,$3.74
,Add Cheese,$3.25,$2.00,3,1," "," ",-,$0.00,-$1.25,0.00%,$1.00,$0.00,$2.00
Total (Puffs),,"$11,474.47","$11,462.71",3564,2,-," ",$0.00,-$6.76,-$5.00,25.03%,$3.22,"$2,028.25","$9,434.46"

Snacks
,Vada Pav,"$2,091.39","$2,088.99",261,0," "," ",-,-$2.40,$0.00,4.56%,$8.00,$0.00,"$2,088.99"
,," "," "," "," ",Mild,11,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spicy,15,$0.00," "," "," "," "," "," "
,," "," "," "," ",No Onion,1,$0.00," "," "," "," "," "," "
